"entrez_id"	"ensembl_gene_id"
347902	"ENSG00000139211"
386724	"ENSG00000176020"
9949	"ENSG00000101935"
83607	"ENSG00000144233"
81693	"ENSG00000166126"
196394	"ENSG00000151743"
154796	"ENSG00000126016"
154810	"ENSG00000166025"
51421	"ENSG00000114019"
270	"ENSG00000116748"
271	"ENSG00000116337"
272	"ENSG00000133805"
273	"ENSG00000078053"
275	"ENSG00000145020"
401138	"ENSG00000187689"
276	"ENSG00000237763"
277	"ENSG00000174876"
278	"ENSG00000187733"
279	"ENSG00000243480"
280	"ENSG00000240038"
155185	"ENSG00000174945"
51321	"ENSG00000196704"
64682	"ENSG00000153107"
29882	"ENSG00000176248"
29945	"ENSG00000053900"
51433	"ENSG00000089053"
51434	"ENSG00000196510"
10393	"ENSG00000164162"
51529	"ENSG00000141552"
25847	"ENSG00000129055"
25906	"ENSG00000110200"
119504	"ENSG00000166295"
283	"ENSG00000214274"
23357	"ENSG00000013523"
90806	"ENSG00000174606"
284	"ENSG00000154188"
285	"ENSG00000091879"
51378	"ENSG00000101280"
9068	"ENSG00000116194"
23452	"ENSG00000136859"
27329	"ENSG00000132855"
51129	"ENSG00000167772"
253935	"ENSG00000187151"
83854	"ENSG00000130812"
10218	"ENSG00000171819"
55908	"ENSG00000130173"
647589	"ENSG00000227059"
286	"ENSG00000029534"
287	"ENSG00000145362"
288	"ENSG00000151150"
150709	"ENSG00000151687"
348094	"ENSG00000166839"
728780	"ENSG00000189045"
63926	"ENSG00000132623"
162282	"ENSG00000153930"
51479	"ENSG00000185722"
56172	"ENSG00000154122"
54882	"ENSG00000131503"
54467	"ENSG00000001629"
255239	"ENSG00000170209"
126549	"ENSG00000160117"
23141	"ENSG00000176915"
51281	"ENSG00000144504"
57037	"ENSG00000106524"
57763	"ENSG00000164331"
27063	"ENSG00000148677"
26287	"ENSG00000165887"
22881	"ENSG00000135299"
56311	"ENSG00000106013"
122416	"ENSG00000156381"
55608	"ENSG00000088448"
29123	"ENSG00000167522"
23253	"ENSG00000101745"
88455	"ENSG00000076513"
124930	"ENSG00000198720"
81573	"ENSG00000118454"
338692	"ENSG00000172932"
54522	"ENSG00000134461"
26057	"ENSG00000132466"
253650	"ENSG00000180071"
441459	"ENSG00000230453"
84210	"ENSG00000260691"
441430	"ENSG00000183148"
441425	"ENSG00000276203"
728747	"ENSG00000172014"
118932	"ENSG00000152766"
200539	"ENSG00000163126"
170961	"ENSG00000089847"
22852	"ENSG00000107890"
84079	"ENSG00000105186"
23243	"ENSG00000206560"
147463	"ENSG00000154065"
91074	"ENSG00000148513"
374860	"ENSG00000180777"
554226	"ENSG00000163046"
256006	"ENSG00000145700"
341405	"ENSG00000167612"
651746	"ENSG00000164236"
284615	"ENSG00000272031"
340120	"ENSG00000189127"
390616	"ENSG00000235711"
148741	"ENSG00000198483"
375248	"ENSG00000135976"
57730	"ENSG00000196912"
400986	"ENSG00000174501"
353322	"ENSG00000186352"
51239	"ENSG00000213337"
91369	"ENSG00000154945"
338699	"ENSG00000137494"
91526	"ENSG00000065413"
339416	"ENSG00000183831"
157567	"ENSG00000186106"
54851	"ENSG00000168876"
57182	"ENSG00000151458"
283373	"ENSG00000139645"
79998	"ENSG00000144031"
129138	"ENSG00000100124"
79722	"ENSG00000164512"
140731	"ENSG00000124227"
100310846	"ENSG00000157999"
342850	"ENSG00000181626"
100131244	"ENSG00000230778"
441869	"ENSG00000235098"
100287718	"ENSG00000230062"
23294	"ENSG00000064999"
56899	"ENSG00000185046"
124401	"ENSG00000168096"
257629	"ENSG00000175311"
203286	"ENSG00000165138"
389161	"ENSG00000206199"
55139	"ENSG00000163516"
54443	"ENSG00000011426"
55107	"ENSG00000131620"
57101	"ENSG00000047617"
63982	"ENSG00000134343"
121601	"ENSG00000151572"
203859	"ENSG00000171714"
196527	"ENSG00000177119"
50636	"ENSG00000146205"
57719	"ENSG00000074855"
338440	"ENSG00000185101"
55129	"ENSG00000160746"
3730	"ENSG00000011201"
8125	"ENSG00000140350"
10541	"ENSG00000136938"
23519	"ENSG00000139223"
81611	"ENSG00000143401"
290	"ENSG00000166825"
84168	"ENSG00000169604"
118429	"ENSG00000163297"
195977	"ENSG00000274209"
301	"ENSG00000135046"
302	"ENSG00000182718"
389289	"ENSG00000177721"
306	"ENSG00000138772"
307	"ENSG00000196975"
308	"ENSG00000164111"
309	"ENSG00000197043"
310	"ENSG00000138279"
653145	"ENSG00000265190"
728113	"ENSG00000264230"
8416	"ENSG00000143412"
11199	"ENSG00000109511"
311	"ENSG00000122359"
312	"ENSG00000104537"
313	"ENSG00000136250"
26	"ENSG00000002726"
314	"ENSG00000131480"
8639	"ENSG00000131471"
316	"ENSG00000138356"
55435	"ENSG00000138660"
162	"ENSG00000100280"
164	"ENSG00000166747"
8906	"ENSG00000213983"
8907	"ENSG00000072958"
10053	"ENSG00000129354"
1174	"ENSG00000106367"
8905	"ENSG00000182287"
130340	"ENSG00000152056"
160	"ENSG00000196961"
161	"ENSG00000183020"
163	"ENSG00000006125"
1173	"ENSG00000161203"
1175	"ENSG00000042753"
8546	"ENSG00000132842"
8120	"ENSG00000103723"
8943	"ENSG00000065000"
26985	"ENSG00000185009"
10947	"ENSG00000070718"
1176	"ENSG00000177879"
10239	"ENSG00000157823"
10717	"ENSG00000134262"
23431	"ENSG00000081014"
9179	"ENSG00000221838"
11154	"ENSG00000100478"
91056	"ENSG00000254470"
55745	"ENSG00000053770"
55317	"ENSG00000125843"
9907	"ENSG00000242802"
317	"ENSG00000120868"
320	"ENSG00000107282"
321	"ENSG00000034053"
9546	"ENSG00000011132"
322	"ENSG00000166313"
54518	"ENSG00000077420"
323	"ENSG00000163697"
10307	"ENSG00000113108"
324	"ENSG00000134982"
10297	"ENSG00000115266"
147495	"ENSG00000154856"
164284	"ENSG00000198768"
325	"ENSG00000132703"
327	"ENSG00000164062"
100506013	"ENSG00000248329"
328	"ENSG00000100823"
27301	"ENSG00000169188"
51107	"ENSG00000117362"
83464	"ENSG00000138613"
8539	"ENSG00000166181"
51074	"ENSG00000149089"
378708	"ENSG00000175279"
200558	"ENSG00000169621"
8862	"ENSG00000171388"
187	"ENSG00000134817"
333	"ENSG00000105290"
334	"ENSG00000084234"
57136	"ENSG00000101474"
335	"ENSG00000118137"
336	"ENSG00000158874"
337	"ENSG00000110244"
116519	"ENSG00000110243"
338	"ENSG00000084674"
339	"ENSG00000111701"
10930	"ENSG00000124701"
200315	"ENSG00000128383"
9582	"ENSG00000179750"
27350	"ENSG00000244509"
140564	"ENSG00000243811"
200316	"ENSG00000128394"
60489	"ENSG00000239713"
164668	"ENSG00000100298"
403314	"ENSG00000173627"
55911	"ENSG00000184730"
341	"ENSG00000130208"
344	"ENSG00000234906"
345	"ENSG00000110245"
346	"ENSG00000267467"
347	"ENSG00000189058"
348	"ENSG00000130203"
319	"ENSG00000175336"
350	"ENSG00000091583"
8542	"ENSG00000100342"
23780	"ENSG00000128335"
80833	"ENSG00000128284"
80832	"ENSG00000100336"
80831	"ENSG00000128313"
80830	"ENSG00000221963"
81575	"ENSG00000178878"
55937	"ENSG00000204444"
79135	"ENSG00000184831"
139322	"ENSG00000155008"
84334	"ENSG00000256053"
351	"ENSG00000142192"
10513	"ENSG00000062725"
26060	"ENSG00000157500"
55198	"ENSG00000136044"
353	"ENSG00000198931"
54840	"ENSG00000137074"
358	"ENSG00000240583"
359	"ENSG00000167580"
360	"ENSG00000165272"
361	"ENSG00000171885"
362	"ENSG00000161798"
363	"ENSG00000086159"
364	"ENSG00000165269"
343	"ENSG00000103375"
366	"ENSG00000103569"
89872	"ENSG00000143595"
282679	"ENSG00000178301"
375318	"ENSG00000184945"
653437	"ENSG00000185176"
9716	"ENSG00000021776"
367	"ENSG00000169083"
369	"ENSG00000078061"
116985	"ENSG00000186635"
116984	"ENSG00000047365"
64411	"ENSG00000120318"
23237	"ENSG00000198576"
372	"ENSG00000095139"
374	"ENSG00000109321"
9870	"ENSG00000119682"
375	"ENSG00000143761"
377	"ENSG00000134287"
378	"ENSG00000168374"
381	"ENSG00000004059"
382	"ENSG00000165527"
55738	"ENSG00000101199"
84364	"ENSG00000149182"
26286	"ENSG00000242247"
10565	"ENSG00000066777"
10564	"ENSG00000124198"
57221	"ENSG00000112379"
27236	"ENSG00000164144"
23647	"ENSG00000132254"
10139	"ENSG00000101246"
383	"ENSG00000118520"
384	"ENSG00000081181"
503582	"ENSG00000186103"
55082	"ENSG00000134884"
392	"ENSG00000175220"
393	"ENSG00000089820"
394	"ENSG00000100852"
395	"ENSG00000047648"
23779	"ENSG00000241484"
64333	"ENSG00000123329"
79658	"ENSG00000071205"
9824	"ENSG00000198826"
89839	"ENSG00000187951"
94134	"ENSG00000165322"
55843	"ENSG00000075884"
55114	"ENSG00000140750"
93663	"ENSG00000146376"
84986	"ENSG00000213390"
57569	"ENSG00000137727"
57584	"ENSG00000107863"
58504	"ENSG00000128805"
57636	"ENSG00000275832"
83478	"ENSG00000138639"
9938	"ENSG00000163219"
23092	"ENSG00000145819"
201176	"ENSG00000159314"
79822	"ENSG00000088756"
9411	"ENSG00000137962"
257106	"ENSG00000186517"
57514	"ENSG00000031081"
9743	"ENSG00000134909"
115703	"ENSG00000004777"
2909	"ENSG00000160007"
158763	"ENSG00000147256"
80728	"ENSG00000147799"
343578	"ENSG00000124143"
143872	"ENSG00000165895"
9912	"ENSG00000006740"
23526	"ENSG00000180448"
396	"ENSG00000141522"
397	"ENSG00000111348"
398	"ENSG00000242173"
9138	"ENSG00000076928"
9181	"ENSG00000116584"
50650	"ENSG00000163947"
50649	"ENSG00000136002"
7984	"ENSG00000050327"
9459	"ENSG00000129675"
8874	"ENSG00000102606"
23229	"ENSG00000131089"
9639	"ENSG00000104728"
55160	"ENSG00000074964"
9826	"ENSG00000132694"
23365	"ENSG00000196914"
22899	"ENSG00000198844"
27237	"ENSG00000130762"
9828	"ENSG00000110237"
23370	"ENSG00000104880"
128272	"ENSG00000142632"
115557	"ENSG00000240771"
26084	"ENSG00000114790"
64283	"ENSG00000214944"
100271715	"ENSG00000214694"
445328	"ENSG00000213214"
389337	"ENSG00000183111"
54848	"ENSG00000236699"
84904	"ENSG00000137135"
55701	"ENSG00000165801"
8289	"ENSG00000117713"
57492	"ENSG00000049618"
196528	"ENSG00000189079"
1820	"ENSG00000116017"
10620	"ENSG00000179361"
138715	"ENSG00000205143"
5926	"ENSG00000032219"
51742	"ENSG00000054267"
10865	"ENSG00000196843"
84159	"ENSG00000150347"
25820	"ENSG00000166233"
10425	"ENSG00000177479"
646450	"ENSG00000221883"
400	"ENSG00000120805"
402	"ENSG00000213465"
23568	"ENSG00000102931"
