microRNA	P-value (global)	P-value (local)	Association	Target (Gene Symbol)	Target (Entrez)
hsa-let-7a	2.11e-07	0.000123	negative	HIC2	23119
hsa-let-7a	2.11e-07	0.000126	negative	APBB3	10307
hsa-let-7a	2.11e-07	0.00014	negative	ZNF341	84905
hsa-let-7a	2.11e-07	0.000141	negative	SCN4B	6330
hsa-let-7a	2.11e-07	0.000151	negative	LIN28B	389421
hsa-let-7a	2.11e-07	0.000155	negative	PPP1R16B	26051
hsa-let-7a	2.11e-07	0.000161	negative	KIF21B	23046
hsa-let-7a	2.11e-07	0.000194	negative	PRSS22	64063
hsa-let-7a	2.11e-07	0.000205	negative	C11orf84	144097
hsa-let-7a	2.11e-07	0.00021	negative	ADAMTS8	11095
hsa-let-7a	2.11e-07	0.000213	negative	MGLL	11343
hsa-let-7a	2.11e-07	0.000213	negative	CD200R1	131450
hsa-let-7a	2.11e-07	0.000213	negative	PAPPA	5069
hsa-let-7a	2.11e-07	0.000236	negative	CRCT1	54544
hsa-let-7a	2.11e-07	0.000256	negative	PALD1	27143
hsa-let-7a	2.11e-07	0.000264	negative	GABBR2	9568
hsa-let-7a	2.11e-07	0.000305	negative	MESDC1	59274
hsa-let-7a	2.11e-07	0.000355	negative	AURKB	9212
hsa-let-7a	2.11e-07	0.000358	negative	RAB40C	57799
hsa-let-7a	2.11e-07	0.000365	negative	SOWAHA	134548
hsa-let-7a	2.11e-07	4e-04	negative	CPEB1	64506
hsa-let-7a	2.11e-07	0.000406	negative	XKR8	55113
hsa-let-7a	2.11e-07	0.000411	negative	COL1A1	1277
hsa-let-7a	2.11e-07	0.000412	negative	RPUSD3	285367
hsa-let-7a	2.11e-07	0.000414	negative	ARL4D	379
hsa-let-7a	2.11e-07	0.000422	negative	ZNF512B	57473
hsa-let-7a	2.11e-07	0.000436	negative	BEGAIN	57596
hsa-let-7a	2.11e-07	0.000446	negative	SEC14L5	9717
hsa-let-7a	2.11e-07	0.000485	negative	CYP46A1	10858
hsa-let-7a	2.11e-07	0.000576	negative	GALE	2582
hsa-let-7a	2.11e-07	0.000577	negative	FAM214B	80256
hsa-let-7a	2.11e-07	0.000605	negative	HOXC11	3227
hsa-let-7a	2.11e-07	0.00063	negative	CDC34	997
hsa-let-7a	2.11e-07	0.000663	negative	HAND1	9421
hsa-let-7a	2.11e-07	0.000687	negative	CBFA2T3	863
hsa-let-7a	2.11e-07	0.000698	negative	NGF	4803
hsa-let-7a	2.11e-07	0.000728	negative	ABCB9	23457
hsa-let-7a	2.11e-07	0.000781	negative	FBXL12	54850
hsa-let-7a	2.11e-07	0.000788	negative	NTN1	9423
hsa-let-7a	2.11e-07	0.000814	negative	ZNF689	115509
hsa-let-7a	2.11e-07	0.000822	negative	LSM11	134353
hsa-let-7a	2.11e-07	0.00085	negative	PTAFR	5724
hsa-let-7a	2.11e-07	0.000909	negative	ESPL1	9700
hsa-let-7a	2.11e-07	0.00104	negative	HMGA2	8091
hsa-let-7a	2.11e-07	0.00114	negative	IGF2BP1	10642
hsa-let-7a	2.11e-07	0.00116	negative	NRTN	4902
hsa-let-7a	2.11e-07	0.0012	negative	HTR4	3360
hsa-let-7a	2.11e-07	0.00129	negative	SLC8A2	6543
hsa-let-7a	2.11e-07	0.00131	negative	ADRB3	155
hsa-let-7a	2.11e-07	0.00141	negative	DMRT2	10655
hsa-let-7a	2.11e-07	0.00144	negative	AFF2	2334
hsa-let-7a	2.11e-07	0.0015	negative	MDFI	4188
hsa-let-7a	2.11e-07	0.00167	negative	ALPK3	57538
hsa-let-7a	2.11e-07	0.00175	negative	DDN	23109
hsa-let-7a	2.11e-07	0.0018	negative	TRIM67	440730
hsa-let-7a	2.11e-07	0.00185	negative	CECR6	27439
hsa-let-7a	2.11e-07	0.00188	negative	CHRD	8646
hsa-let-7a	2.11e-07	0.0024	negative	LRRC17	10234
hsa-let-7a	2.11e-07	0.00257	negative	NME6	10201
hsa-let-7a	2.11e-07	0.00272	negative	PLEKHO1	51177
hsa-let-7a	2.11e-07	0.00287	negative	FASLG	356
hsa-let-7a	2.11e-07	0.00288	negative	TRIM71	131405
hsa-let-7a	2.11e-07	0.00297	negative	IGDCC4	57722
hsa-let-7a	2.11e-07	0.00301	negative	CACFD1	11094
hsa-let-7a	2.11e-07	0.00314	negative	TNFSF9	8744
hsa-let-7a	2.11e-07	0.00341	negative	THRSP	7069
hsa-let-7a	2.11e-07	0.00344	negative	IL13	3596
hsa-let-7a	2.11e-07	0.00347	negative	OSBPL3	26031
hsa-let-7a	2.11e-07	0.00373	negative	TUSC2	11334
hsa-let-7a	2.11e-07	0.00375	negative	SNAI3	333929
hsa-let-7a	2.11e-07	0.00397	negative	POLL	27343
hsa-let-7a	2.11e-07	0.00405	negative	IGDCC3	9543
hsa-let-7a	2.11e-07	0.00414	negative	AP1S1	1174
hsa-let-7a	2.11e-07	0.00445	negative	CTHRC1	115908
hsa-let-7a	2.11e-07	0.00495	negative	PCDH19	57526
hsa-let-7a	2.11e-07	0.00529	negative	SOCS1	8651
hsa-let-7a	2.11e-07	0.00536	negative	GPR137	56834
hsa-let-7a	2.11e-07	0.00537	negative	RASL10B	91608
hsa-let-7a	2.11e-07	0.0055	negative	FIGNL2	401720
hsa-let-7a	2.11e-07	0.00584	negative	PSORS1C2	170680
hsa-let-7a	2.11e-07	1.06e-10	positive	RANBP2	5903
hsa-let-7a	2.11e-07	8.82e-10	positive	UFM1	51569
hsa-let-7a	2.11e-07	7.56e-09	positive	NUP98	4928
hsa-let-7a	2.11e-07	1.05e-08	positive	MAP4K3	8491
hsa-let-7a	2.11e-07	1.32e-08	positive	LTN1	26046
hsa-let-7a	2.11e-07	3.52e-08	positive	SMARCAD1	56916
hsa-let-7a	2.11e-07	1.64e-07	positive	BZW1	9689
hsa-let-7a	2.11e-07	2.67e-07	positive	ZNF644	84146
hsa-let-7a	2.11e-07	2.78e-07	positive	CPD	1362
hsa-let-7a	2.11e-07	4.1e-07	positive	SECISBP2L	9728
hsa-let-7a	2.11e-07	4.14e-07	positive	USP24	23358
hsa-let-7a	2.11e-07	5.86e-07	positive	EDEM3	80267
hsa-let-7a	2.11e-07	5.96e-07	positive	STX17	55014
hsa-let-7a	2.11e-07	1.15e-06	positive	USP47	55031
hsa-let-7a	2.11e-07	1.41e-06	positive	GDAP2	54834
hsa-let-7a	2.11e-07	1.98e-06	positive	FAM103A1	83640
hsa-let-7a	2.11e-07	2.17e-06	positive	RICTOR	253260
hsa-let-7a	2.11e-07	2.97e-06	positive	UTRN	7402
hsa-let-7a	2.11e-07	3.41e-06	positive	AHCTF1	25909
hsa-let-7a	2.11e-07	3.66e-06	positive	NLK	51701
hsa-let-7a	2.11e-07	3.66e-06	positive	STXBP5	134957
hsa-let-7a	2.11e-07	4.35e-06	positive	LIPH	200879
hsa-let-7a	2.11e-07	5.46e-06	positive	ATAD2B	54454
hsa-let-7a	2.11e-07	5.85e-06	positive	BCAP29	55973
hsa-let-7a	2.11e-07	7.45e-06	positive	LRIG2	9860
hsa-let-7a	2.11e-07	8.83e-06	positive	TRMT13	54482
hsa-let-7a	2.11e-07	9.59e-06	positive	C15orf29	79768
hsa-let-7a	2.11e-07	1.03e-05	positive	PBX3	5090
hsa-let-7a	2.11e-07	1.66e-05	positive	ANKRD28	23243
hsa-let-7a	2.11e-07	1.81e-05	positive	GXYLT1	283464
hsa-let-7a	2.11e-07	1.84e-05	positive	SLC31A1	1317
hsa-let-7a	2.11e-07	2.33e-05	positive	SNX6	58533
hsa-let-7a	2.11e-07	2.52e-05	positive	GALC	2581
hsa-let-7a	2.11e-07	3.19e-05	positive	DNAJA2	10294
hsa-let-7a	2.11e-07	3.29e-05	positive	EEA1	8411
hsa-let-7a	2.11e-07	4.19e-05	positive	MGAT4A	11320
hsa-let-7a	2.11e-07	4.76e-05	positive	PRPF38B	55119
hsa-let-7a	2.11e-07	5.11e-05	positive	TSC1	7248
hsa-let-7a	2.11e-07	5.77e-05	positive	TMED5	50999
hsa-let-7a	2.11e-07	6.14e-05	positive	GNG5	2787
hsa-let-7a	2.11e-07	6.33e-05	positive	RTCA	8634
hsa-let-7a	2.11e-07	7.3e-05	positive	NEK3	4752
hsa-let-7a	2.11e-07	1e-04	positive	MAPK6	5597
hsa-let-7a	2.11e-07	0.000104	positive	TMEM2	23670
hsa-let-7a	2.11e-07	0.000116	positive	BACH1	571
hsa-let-7a	2.11e-07	0.000144	positive	FAM178A	55719
hsa-let-7a	2.11e-07	2e-04	positive	SLC2A12	154091
hsa-let-7a	2.11e-07	0.00023	positive	DDI2	84301
hsa-let-7a	2.11e-07	0.000276	positive	FNIP1	96459
hsa-let-7a	2.11e-07	0.000367	positive	HS2ST1	9653
hsa-let-7a	2.11e-07	0.000394	positive	MLLT4	4301
hsa-let-7a	2.11e-07	0.000425	positive	CERS2	29956
hsa-let-7a	2.11e-07	0.000471	positive	UBN2	254048
hsa-let-7a	2.11e-07	0.000479	positive	CPEB2	132864
hsa-let-7a	2.11e-07	0.00053	positive	QARS	5859
hsa-let-7a	2.11e-07	0.000608	positive	MYCBP	26292
hsa-let-7a	2.11e-07	0.000807	positive	MED28	80306
hsa-let-7a	2.11e-07	0.00106	positive	CHIC1	53344
hsa-let-7a	2.11e-07	0.00111	positive	TGDS	23483
hsa-let-7a	2.11e-07	0.00122	positive	PRKAA2	5563
hsa-let-7a	2.11e-07	0.00133	positive	RNF5	6048
hsa-let-7a	2.11e-07	0.00137	positive	RIOK3	8780
hsa-let-7a	2.11e-07	0.00143	positive	NAP1L1	4673
hsa-let-7a	2.11e-07	0.00157	positive	SLC25A24	29957
hsa-let-7a	2.11e-07	0.00162	positive	ZNF322	79692
hsa-let-7a	2.11e-07	0.00266	positive	SLC35D2	11046
hsa-let-7a	2.11e-07	0.00271	positive	USP32	84669
hsa-let-7a	2.11e-07	0.00284	positive	RNF20	56254
hsa-let-7a	2.11e-07	0.00335	positive	SOCS4	122809
hsa-let-7a	2.11e-07	0.00336	positive	TMPRSS2	7113
hsa-let-7a	2.11e-07	0.00338	positive	NAA30	122830
hsa-let-7a	2.11e-07	0.0038	positive	TTC39C	125488
hsa-let-7a	2.11e-07	0.00443	positive	RUFY3	22902
hsa-let-7a	2.11e-07	0.00443	positive	LGR4	55366
hsa-let-7a	2.11e-07	0.00576	positive	LRIG3	121227
hsa-miR-28-5p	2.22e-07	9.35e-10	negative	GDA	9615
hsa-miR-28-5p	2.22e-07	1.54e-07	negative	FAM135B	51059
hsa-miR-28-5p	2.22e-07	4.02e-07	negative	GOLT1A	127845
hsa-miR-28-5p	2.22e-07	1.68e-06	negative	HTRA2	27429
hsa-miR-28-5p	2.22e-07	3.99e-06	negative	NTM	50863
hsa-miR-28-5p	2.22e-07	9.56e-06	negative	IQSEC2	23096
hsa-miR-28-5p	2.22e-07	1.56e-05	negative	IMPDH1	3614
hsa-miR-28-5p	2.22e-07	4.44e-05	negative	MDGA1	266727
hsa-miR-28-5p	2.22e-07	0.000109	negative	EFNB3	1949
hsa-miR-28-5p	2.22e-07	0.000124	negative	SH2B1	25970
hsa-miR-28-5p	2.22e-07	0.000133	negative	MARCH9	92979
hsa-miR-28-5p	2.22e-07	0.000174	negative	ANK1	286
hsa-miR-28-5p	2.22e-07	0.000202	negative	CACNA1G	8913
hsa-miR-28-5p	2.22e-07	0.000224	negative	PDZD4	57595
hsa-miR-28-5p	2.22e-07	0.000273	negative	LPPR5	163404
hsa-miR-28-5p	2.22e-07	0.000506	negative	LYPD3	27076
hsa-miR-28-5p	2.22e-07	0.000976	negative	HOXB3	3213
hsa-miR-28-5p	2.22e-07	0.00116	negative	NNAT	4826
hsa-miR-28-5p	2.22e-07	0.0025	negative	CCND3	896
hsa-miR-28-5p	2.22e-07	0.00251	negative	SLC4A11	83959
hsa-miR-28-5p	2.22e-07	0.00328	negative	RCVRN	5957
hsa-miR-28-5p	2.22e-07	0.00353	negative	SEMA7A	8482
hsa-miR-28-5p	2.22e-07	2.22e-09	positive	CCDC6	8030
hsa-miR-28-5p	2.22e-07	2.62e-09	positive	GNG12	55970
hsa-miR-28-5p	2.22e-07	3.07e-08	positive	CRIM1	51232
hsa-miR-28-5p	2.22e-07	5.01e-07	positive	GLG1	2734
hsa-miR-28-5p	2.22e-07	2.03e-06	positive	RAP1B	5908
hsa-miR-28-5p	2.22e-07	2.6e-06	positive	RAB8B	51762
hsa-miR-28-5p	2.22e-07	7.54e-06	positive	TXNL1	9352
hsa-miR-28-5p	2.22e-07	7.86e-05	positive	C14orf101	54916
hsa-miR-28-5p	2.22e-07	0.00018	positive	LUZP1	7798
hsa-miR-28-5p	2.22e-07	0.000381	positive	CDC14A	8556
hsa-miR-28-5p	2.22e-07	0.00069	positive	SLC31A1	1317
hsa-miR-28-5p	2.22e-07	0.000834	positive	GAPVD1	26130
hsa-miR-28-5p	2.22e-07	0.000969	positive	N4BP1	9683
hsa-miR-28-5p	2.22e-07	0.00195	positive	PSMA5	5686
hsa-miR-28-5p	2.22e-07	0.00231	positive	TEX261	113419
hsa-miR-28-5p	2.22e-07	0.00279	positive	TRPC4AP	26133
hsa-miR-28-5p	2.22e-07	0.00365	positive	GON4L	54856
hsa-miR-26b	2.3e-07	3.93e-09	negative	REEP4	80346
hsa-miR-26b	2.3e-07	3.33e-08	negative	HMGA1	3159
hsa-miR-26b	2.3e-07	2.4e-07	negative	FGD1	2245
hsa-miR-26b	2.3e-07	3.17e-07	negative	SPOCK2	9806
hsa-miR-26b	2.3e-07	3.3e-07	negative	FANCA	2175
hsa-miR-26b	2.3e-07	8.93e-07	negative	ARPP21	10777
hsa-miR-26b	2.3e-07	2.58e-06	negative	BCR	613
hsa-miR-26b	2.3e-07	8.31e-06	negative	ADAMTS6	11174
hsa-miR-26b	2.3e-07	8.92e-06	negative	C9orf40	55071
hsa-miR-26b	2.3e-07	1.36e-05	negative	BAK1	578
hsa-miR-26b	2.3e-07	1.39e-05	negative	KCNH7	90134
hsa-miR-26b	2.3e-07	1.76e-05	negative	HAO1	54363
hsa-miR-26b	2.3e-07	3.27e-05	negative	DEPDC1B	55789
hsa-miR-26b	2.3e-07	7.06e-05	negative	LOXL2	4017
hsa-miR-26b	2.3e-07	7.68e-05	negative	RASGEF1A	221002
hsa-miR-26b	2.3e-07	8.08e-05	negative	ULK1	8408
hsa-miR-26b	2.3e-07	0.000136	negative	SALL1	6299
hsa-miR-26b	2.3e-07	0.000182	negative	FBXL19	54620
hsa-miR-26b	2.3e-07	0.000183	negative	PCK1	5105
hsa-miR-26b	2.3e-07	0.000185	negative	CKS2	1164
hsa-miR-26b	2.3e-07	0.000231	negative	PLXND1	23129
hsa-miR-26b	2.3e-07	0.000261	negative	PLXNA2	5362
hsa-miR-26b	2.3e-07	0.000297	negative	VGLL4	9686
hsa-miR-26b	2.3e-07	0.00046	negative	LIN28B	389421
hsa-miR-26b	2.3e-07	0.000752	negative	GPR12	2835
hsa-miR-26b	2.3e-07	0.000753	negative	TMEM86A	144110
hsa-miR-26b	2.3e-07	0.000977	negative	C2CD2L	9854
hsa-miR-26b	2.3e-07	0.00118	negative	RBM46	166863
hsa-miR-26b	2.3e-07	0.00122	negative	STAC2	342667
hsa-miR-26b	2.3e-07	0.00139	negative	GRHL3	57822
hsa-miR-26b	2.3e-07	0.00149	negative	CHAC1	79094
hsa-miR-26b	2.3e-07	0.00179	negative	KCNJ2	3759
hsa-miR-26b	2.3e-07	0.00203	negative	HTR2C	3358
hsa-miR-26b	2.3e-07	0.00212	negative	TRPC3	7222
hsa-miR-26b	2.3e-07	0.00237	negative	NHS	4810
hsa-miR-26b	2.3e-07	0.00272	negative	PRKCQ	5588
hsa-miR-26b	2.3e-07	0.00312	negative	PON1	5444
hsa-miR-26b	2.3e-07	0.00313	negative	COL10A1	1300
hsa-miR-26b	2.3e-07	0.00407	negative	DMRT3	58524
hsa-miR-26b	2.3e-07	0.00416	negative	EZH2	2146
hsa-miR-26b	2.3e-07	0.00417	negative	HECTD3	79654
hsa-miR-26b	2.3e-07	0.00444	negative	ANKRD52	283373
hsa-miR-26b	2.3e-07	2.11e-11	positive	EIF4G2	1982
hsa-miR-26b	2.3e-07	6.71e-11	positive	TAB3	257397
hsa-miR-26b	2.3e-07	1.11e-10	positive	EPS15	2060
hsa-miR-26b	2.3e-07	2.73e-10	positive	SMAD4	4089
hsa-miR-26b	2.3e-07	9.22e-10	positive	CCDC6	8030
hsa-miR-26b	2.3e-07	4.54e-09	positive	PTER	9317
hsa-miR-26b	2.3e-07	4.07e-08	positive	SLC25A36	55186
hsa-miR-26b	2.3e-07	5.61e-08	positive	BAZ2B	29994
hsa-miR-26b	2.3e-07	8.68e-08	positive	PAPD4	167153
hsa-miR-26b	2.3e-07	1.35e-07	positive	ZDHHC6	64429
hsa-miR-26b	2.3e-07	2.7e-07	positive	RLF	6018
hsa-miR-26b	2.3e-07	3.11e-07	positive	TIAL1	7073
hsa-miR-26b	2.3e-07	3.7e-07	positive	STYX	6815
hsa-miR-26b	2.3e-07	4.31e-07	positive	MAN2A1	4124
hsa-miR-26b	2.3e-07	4.36e-07	positive	CHIC1	53344
hsa-miR-26b	2.3e-07	5.62e-07	positive	PCNX	22990
hsa-miR-26b	2.3e-07	1e-06	positive	ARID2	196528
hsa-miR-26b	2.3e-07	1.07e-06	positive	MAP3K2	10746
hsa-miR-26b	2.3e-07	1.57e-06	positive	PAWR	5074
hsa-miR-26b	2.3e-07	2.09e-06	positive	USP25	29761
hsa-miR-26b	2.3e-07	2.93e-06	positive	PPM1B	5495
hsa-miR-26b	2.3e-07	2.98e-06	positive	STRADB	55437
hsa-miR-26b	2.3e-07	3.09e-06	positive	ATAD2B	54454
hsa-miR-26b	2.3e-07	5.17e-06	positive	YTHDF3	253943
hsa-miR-26b	2.3e-07	6.68e-06	positive	FUBP1	8880
hsa-miR-26b	2.3e-07	6.73e-06	positive	MIB1	57534
hsa-miR-26b	2.3e-07	7.29e-06	positive	USP15	9958
hsa-miR-26b	2.3e-07	7.63e-06	positive	CELF1	10658
hsa-miR-26b	2.3e-07	7.92e-06	positive	TOB1	10140
hsa-miR-26b	2.3e-07	8.58e-06	positive	PTEN	5728
hsa-miR-26b	2.3e-07	1.24e-05	positive	ZFHX3	463
hsa-miR-26b	2.3e-07	1.8e-05	positive	NAA15	80155
hsa-miR-26b	2.3e-07	2.48e-05	positive	TMEM33	55161
hsa-miR-26b	2.3e-07	3.09e-05	positive	TNRC6A	27327
hsa-miR-26b	2.3e-07	3.39e-05	positive	TNRC6B	23112
hsa-miR-26b	2.3e-07	3.44e-05	positive	UBR4	23352
hsa-miR-26b	2.3e-07	4.74e-05	positive	PRDX3	10935
hsa-miR-26b	2.3e-07	5.19e-05	positive	WAPAL	23063
hsa-miR-26b	2.3e-07	6.04e-05	positive	PDHX	8050
hsa-miR-26b	2.3e-07	6.11e-05	positive	MIER3	166968
hsa-miR-26b	2.3e-07	6.49e-05	positive	TBC1D15	64786
hsa-miR-26b	2.3e-07	8.34e-05	positive	MGAT4A	11320
hsa-miR-26b	2.3e-07	8.46e-05	positive	RUFY3	22902
hsa-miR-26b	2.3e-07	8.81e-05	positive	HELZ	9931
hsa-miR-26b	2.3e-07	9.61e-05	positive	FAM98A	25940
hsa-miR-26b	2.3e-07	0.000112	positive	UBE2D1	7321
hsa-miR-26b	2.3e-07	0.000133	positive	ZNF410	57862
hsa-miR-26b	2.3e-07	0.000207	positive	USP9X	8239
hsa-miR-26b	2.3e-07	0.000301	positive	CREBZF	58487
hsa-miR-26b	2.3e-07	0.000364	positive	METAP2	10988
hsa-miR-26b	2.3e-07	0.000368	positive	IMPAD1	54928
hsa-miR-26b	2.3e-07	0.000434	positive	GSK3B	2932
hsa-miR-26b	2.3e-07	0.000471	positive	MAP3K1	4214
hsa-miR-26b	2.3e-07	0.000501	positive	UBN2	254048
hsa-miR-26b	2.3e-07	0.000598	positive	RPS6KA6	27330
hsa-miR-26b	2.3e-07	0.000669	positive	ACADSB	36
hsa-miR-26b	2.3e-07	0.000714	positive	FNIP1	96459
hsa-miR-26b	2.3e-07	0.000925	positive	ASCC3	10973
hsa-miR-26b	2.3e-07	0.000968	positive	OSTM1	28962
hsa-miR-26b	2.3e-07	0.00113	positive	PRKAG2	51422
hsa-miR-26b	2.3e-07	0.0012	positive	PCDH18	54510
hsa-miR-26b	2.3e-07	0.00124	positive	DDX52	11056
hsa-miR-26b	2.3e-07	0.00147	positive	MTX2	10651
hsa-miR-26b	2.3e-07	0.0017	positive	C16orf70	80262
hsa-miR-26b	2.3e-07	0.00173	positive	CREBL2	1389
hsa-miR-26b	2.3e-07	0.00183	positive	SRP19	6728
hsa-miR-26b	2.3e-07	0.00189	positive	G2E3	55632
hsa-miR-26b	2.3e-07	0.00201	positive	PHF21A	51317
hsa-miR-26b	2.3e-07	0.00248	positive	PHF6	84295
hsa-miR-26b	2.3e-07	0.00323	positive	KIAA1551	55196
hsa-miR-26b	2.3e-07	0.00324	positive	RFX7	64864
hsa-miR-26b	2.3e-07	0.00349	positive	RCN2	5955
hsa-miR-26b	2.3e-07	0.00398	positive	HSPA8	3312
hsa-miR-26b	2.3e-07	0.00433	positive	GSR	2936
hsa-miR-26b	2.3e-07	0.00475	positive	ADAM9	8754
hsa-miR-760	2.38e-07	5.05e-06	negative	HIBADH	11112
hsa-miR-760	2.38e-07	5.14e-06	negative	SLC11A2	4891
hsa-miR-760	2.38e-07	5.82e-06	negative	PUM1	9698
hsa-miR-760	2.38e-07	9.93e-06	negative	MBNL1	4154
hsa-miR-760	2.38e-07	1.89e-05	negative	NAA50	80218
hsa-miR-760	2.38e-07	2.68e-05	negative	EIF1	10209
hsa-miR-760	2.38e-07	9.72e-05	negative	SMARCE1	6605
hsa-miR-760	2.38e-07	0.000128	negative	PIP4K2C	79837
hsa-miR-760	2.38e-07	0.000152	negative	SNX1	6642
hsa-miR-760	2.38e-07	0.00049	negative	FAM107B	83641
hsa-miR-760	2.38e-07	0.000728	negative	SEC24C	9632
hsa-miR-760	2.38e-07	0.00101	negative	GOLGA7	51125
hsa-miR-760	2.38e-07	0.00137	negative	WDR20	91833
hsa-miR-760	2.38e-07	0.00178	negative	SERTAD2	9792
hsa-miR-760	2.38e-07	0.00199	negative	CAMK2G	818
hsa-miR-760	2.38e-07	0.00248	negative	KCNMA1	3778
hsa-miR-760	2.38e-07	0.00412	negative	FBXL20	84961
hsa-miR-760	2.38e-07	1.36e-06	positive	SPTBN4	57731
hsa-miR-760	2.38e-07	8.56e-06	positive	ACAP3	116983
hsa-miR-760	2.38e-07	1.46e-05	positive	STMN3	50861
hsa-miR-760	2.38e-07	1.51e-05	positive	HPCA	3208
hsa-miR-760	2.38e-07	1.64e-05	positive	TMEM44	93109
hsa-miR-760	2.38e-07	1.87e-05	positive	BAI1	575
hsa-miR-760	2.38e-07	2.04e-05	positive	ZNF784	147808
hsa-miR-760	2.38e-07	3.43e-05	positive	HIST1H2BN	8341
hsa-miR-760	2.38e-07	3.53e-05	positive	TRIOBP	11078
hsa-miR-760	2.38e-07	4.45e-05	positive	AKAP3	10566
hsa-miR-760	2.38e-07	9.33e-05	positive	CACNG3	10368
hsa-miR-760	2.38e-07	0.000116	positive	HIST1H3B	8358
hsa-miR-760	2.38e-07	0.000144	positive	MEX3A	92312
hsa-miR-760	2.38e-07	0.000157	positive	HIST1H2AM	8336
hsa-miR-760	2.38e-07	0.000171	positive	HIST1H2AK	8330
hsa-miR-760	2.38e-07	0.000199	positive	MYO18B	84700
hsa-miR-760	2.38e-07	0.000273	positive	HIST1H3F	8968
hsa-miR-760	2.38e-07	0.000308	positive	HIST3H2A	92815
hsa-miR-760	2.38e-07	0.000384	positive	GPR3	2827
hsa-miR-760	2.38e-07	0.000427	positive	HIST1H3J	8356
hsa-miR-760	2.38e-07	0.000432	positive	HIST1H2AL	8332
hsa-miR-760	2.38e-07	0.00047	positive	FAM100A	124402
hsa-miR-760	2.38e-07	0.000499	positive	FAM193B	54540
hsa-miR-760	2.38e-07	0.000762	positive	IGF2BP1	10642
hsa-miR-760	2.38e-07	0.000826	positive	PARP10	84875
hsa-miR-760	2.38e-07	9e-04	positive	FGF1	2246
hsa-miR-760	2.38e-07	0.000945	positive	HIST1H2AJ	8331
hsa-miR-760	2.38e-07	0.00116	positive	SCARA5	286133
hsa-miR-760	2.38e-07	0.00143	positive	HIST1H1B	3009
hsa-miR-760	2.38e-07	0.00169	positive	HIST1H3H	8357
hsa-miR-760	2.38e-07	0.00198	positive	CDX2	1045
hsa-miR-760	2.38e-07	0.00307	positive	SNCB	6620
hsa-miR-760	2.38e-07	0.00312	positive	KCNA6	3742
hsa-miR-760	2.38e-07	0.00328	positive	HIST1H3A	8350
hsa-miR-760	2.38e-07	0.00344	positive	MAP3K11	4296
hsa-miR-760	2.38e-07	0.00366	positive	CRTC2	200186
hsa-miR-760	2.38e-07	0.00394	positive	POP7	10248
hsa-miR-34a	2.75e-07	8.83e-08	negative	CTNND2	1501
hsa-miR-34a	2.75e-07	8.57e-07	negative	CCNE2	9134
hsa-miR-34a	2.75e-07	1.44e-06	negative	TAF5	6877
hsa-miR-34a	2.75e-07	7.42e-06	negative	GPR158	57512
hsa-miR-34a	2.75e-07	9.03e-06	negative	RELL2	285613
hsa-miR-34a	2.75e-07	9.5e-06	negative	SOX4	6659
hsa-miR-34a	2.75e-07	2.21e-05	negative	SEPT3	55964
hsa-miR-34a	2.75e-07	2.32e-05	negative	GPR85	54329
hsa-miR-34a	2.75e-07	3.46e-05	negative	RPS6KA4	8986
hsa-miR-34a	2.75e-07	3.51e-05	negative	CALCR	799
hsa-miR-34a	2.75e-07	4.57e-05	negative	PEG10	23089
hsa-miR-34a	2.75e-07	4.64e-05	negative	B3GAT3	26229
hsa-miR-34a	2.75e-07	6.07e-05	negative	NRIP3	56675
hsa-miR-34a	2.75e-07	6.72e-05	negative	SCML2	10389
hsa-miR-34a	2.75e-07	8.68e-05	negative	MYRIP	25924
hsa-miR-34a	2.75e-07	8.75e-05	negative	SLC2A4RG	56731
hsa-miR-34a	2.75e-07	0.000107	negative	ACTL10	170487
hsa-miR-34a	2.75e-07	0.000139	negative	CAMTA1	23261
hsa-miR-34a	2.75e-07	0.000172	negative	MYCN	4613
hsa-miR-34a	2.75e-07	0.000271	negative	TRIM41	90933
hsa-miR-34a	2.75e-07	0.000272	negative	GPR22	2845
hsa-miR-34a	2.75e-07	0.000382	negative	HCN3	57657
hsa-miR-34a	2.75e-07	0.000383	negative	ZNF281	23528
hsa-miR-34a	2.75e-07	0.000411	negative	GABRA3	2556
hsa-miR-34a	2.75e-07	0.000417	negative	FOXG1	2290
hsa-miR-34a	2.75e-07	0.000459	negative	MRPL52	122704
hsa-miR-34a	2.75e-07	0.000473	negative	PKIA	5569
hsa-miR-34a	2.75e-07	0.000596	negative	E2F5	1875
hsa-miR-34a	2.75e-07	0.000645	negative	SEMA4F	10505
hsa-miR-34a	2.75e-07	0.000652	negative	GDAP1L1	78997
hsa-miR-34a	2.75e-07	0.000674	negative	E2F3	1871
hsa-miR-34a	2.75e-07	0.000758	negative	ZIC5	85416
hsa-miR-34a	2.75e-07	0.000803	negative	INA	9118
hsa-miR-34a	2.75e-07	0.00084	negative	ARHGAP36	158763
hsa-miR-34a	2.75e-07	0.000874	negative	FUK	197258
hsa-miR-34a	2.75e-07	0.000948	negative	CPLX2	10814
hsa-miR-34a	2.75e-07	0.00106	negative	CA7	766
hsa-miR-34a	2.75e-07	0.00129	negative	FNDC8	54752
hsa-miR-34a	2.75e-07	0.00133	negative	PNOC	5368
hsa-miR-34a	2.75e-07	0.0017	negative	UCK2	7371
hsa-miR-34a	2.75e-07	0.00204	negative	LMTK3	114783
