Target (Entrez)	Target (Gene Symbol)	P-value (global)	P-value (local)	Association	microRNA
84676	TRIM63	0.000418	0.000444	positive	hsa-miR-548c-3p
4803	NGF	0.000418	0.000241	negative	hsa-let-7e
4803	NGF	0.000418	0.000376	negative	hsa-let-7d
4803	NGF	0.000418	0.000698	negative	hsa-let-7a
4803	NGF	0.000418	0.000894	negative	hsa-let-7c
4803	NGF	0.000418	0.00218	negative	hsa-let-7g
4803	NGF	0.000418	0.00502	negative	hsa-let-7b
23122	CLASP2	0.000422	0.000387	positive	hsa-miR-200a
9295	SRSF11	0.000425	0.000425	positive	hsa-miR-148a
5457	POU4F1	0.000426	0.000426	positive	hsa-miR-936
4117	MAK	0.000427	6.28e-05	positive	hsa-miR-182
26353	HSPB8	0.000433	0.000433	negative	hsa-miR-659
3068	HDGF	0.000435	9.17e-07	negative	hsa-miR-214
51809	GALNT7	0.000444	0.000345	positive	hsa-miR-363
5453	POU3F1	0.000451	1.25e-05	positive	hsa-miR-501-3p
5453	POU3F1	0.000451	0.0043	positive	hsa-miR-663
4149	MAX	0.000454	0.000454	positive	hsa-miR-22
10484	SEC23A	0.000458	1.65e-06	negative	hsa-miR-200c
10484	SEC23A	0.000458	0.00065	positive	hsa-miR-200b
10484	SEC23A	0.000458	0.0021	positive	hsa-miR-429
10988	METAP2	0.000462	0.000364	positive	hsa-miR-26b
136	ADORA2B	0.000474	4.51e-05	negative	hsa-miR-374b
2122	MECOM	0.000475	0.000471	positive	hsa-miR-133a
2122	MECOM	0.000475	0.000574	positive	hsa-miR-133b
9909	DENND4B	0.000481	0.00199	positive	hsa-miR-92a
9909	DENND4B	0.000481	0.00254	positive	hsa-miR-92b
5756	TWF1	0.000482	0.000482	negative	hsa-miR-486-5p
81573	ANKRD13C	0.000483	0.000483	positive	hsa-miR-29c
1392	CRH	0.00049	0.00049	positive	hsa-miR-498
112755	STX1B	0.000491	0.000491	negative	hsa-miR-455-5p
2243	FGA	0.000491	0.000491	negative	hsa-miR-101
84107	ZIC4	0.000493	0.000285	positive	hsa-miR-501-3p
57605	PITPNM2	0.000493	0.000493	negative	hsa-miR-29b
26577	PCOLCE2	0.000496	8.65e-07	negative	hsa-miR-25
26577	PCOLCE2	0.000496	0.000363	negative	hsa-miR-92a
23204	ARL6IP1	0.000496	2.42e-06	positive	hsa-miR-148b
26528	DAZAP1	0.000496	0.000248	negative	hsa-miR-10a
26528	DAZAP1	0.000496	0.00916	negative	hsa-miR-10b
3778	KCNMA1	0.000498	0.00248	negative	hsa-miR-760
3778	KCNMA1	0.000498	0.000595	positive	hsa-miR-135a
9728	SECISBP2L	0.000499	0.000306	positive	hsa-miR-454
9728	SECISBP2L	0.000499	0.00284	positive	hsa-miR-200c
9728	SECISBP2L	0.000499	0.00435	positive	hsa-miR-143
9728	SECISBP2L	0.000499	0.00479	positive	hsa-miR-19b
56917	MEIS3	0.000504	0.000651	negative	hsa-let-7g
9762	PROSAPIP1	0.000505	0.000501	negative	hsa-miR-132
84376	HOOK3	0.000506	0.000506	negative	hsa-miR-194
140767	NRSN1	0.000508	0.00879	negative	hsa-miR-29b
140767	NRSN1	0.000508	0.0017	positive	hsa-miR-130b
203522	DDX26B	0.00051	0.000473	positive	hsa-miR-429
6830	SUPT6H	0.000518	0.000518	negative	hsa-miR-141
22794	CASC3	0.000519	0.000519	positive	hsa-miR-27b
343702	XKR7	0.00052	0.000473	negative	hsa-miR-29b
343702	XKR7	0.00052	0.00144	negative	hsa-miR-29a
57862	ZNF410	0.000529	3.96e-07	positive	hsa-miR-26a
57862	ZNF410	0.000529	0.000133	positive	hsa-miR-26b
81565	NDEL1	0.000532	0.000532	negative	hsa-miR-130b
257160	RNF214	0.000532	0.000255	positive	hsa-miR-374b
257160	RNF214	0.000532	0.00108	positive	hsa-miR-374a
56257	MEPCE	0.000533	0.000508	negative	hsa-miR-27b
56257	MEPCE	0.000533	0.0011	negative	hsa-miR-455-3p
80325	ABTB1	0.000535	0.000535	negative	hsa-miR-125a-5p
57596	BEGAIN	0.000539	0.000465	negative	hsa-let-7c
57596	BEGAIN	0.000539	0.00463	negative	hsa-let-7i
6863	TAC1	0.000544	0.000544	negative	hsa-miR-218
3895	KTN1	0.000553	1.02e-05	positive	hsa-miR-374a
3895	KTN1	0.000553	1.4e-05	positive	hsa-miR-374b
3768	KCNJ12	0.000557	0.00084	negative	hsa-miR-132
7533	YWHAH	0.000561	0.00066	negative	hsa-miR-33a
7533	YWHAH	0.000561	7.22e-05	positive	hsa-miR-365
57181	SLC39A10	0.000563	0.000465	positive	hsa-miR-153
79596	RNF219	0.000564	0.000564	positive	hsa-miR-376c
2534	FYN	0.000571	0.000571	negative	hsa-miR-96
2245	FGD1	0.000574	1.01e-05	negative	hsa-miR-20b
10479	SLC9A6	0.000576	0.000576	negative	hsa-miR-19a
3727	JUND	0.000577	0.000577	positive	hsa-miR-494
2915	GRM5	0.000583	0.000583	negative	hsa-miR-582-5p
81873	ARPC5L	0.000584	0.000584	negative	hsa-miR-214
79158	GNPTAB	0.000595	4.5e-05	positive	hsa-let-7e
3832	KIF11	0.000607	0.000607	negative	hsa-miR-381
85407	NKD1	0.000609	3.37e-05	negative	hsa-let-7a
85407	NKD1	0.000609	7.44e-05	negative	hsa-let-7b
85407	NKD1	0.000609	0.000108	negative	hsa-let-7f
85407	NKD1	0.000609	0.000279	negative	hsa-miR-98
85407	NKD1	0.000609	0.000663	negative	hsa-let-7g
85407	NKD1	0.000609	0.00109	negative	hsa-let-7d
85407	NKD1	0.000609	0.0027	negative	hsa-let-7c
57555	NLGN2	0.000613	0.000613	negative	hsa-miR-362-3p
114815	SORCS1	0.000614	0.000206	negative	hsa-miR-335
114815	SORCS1	0.000614	0.00202	positive	hsa-miR-486-5p
7803	PTP4A1	0.000622	0.000622	positive	hsa-miR-200b
10201	NME6	0.000624	0.000171	negative	hsa-let-7d
10201	NME6	0.000624	0.000226	negative	hsa-let-7e
10201	NME6	0.000624	0.0015	negative	hsa-let-7f
10201	NME6	0.000624	0.00257	negative	hsa-let-7a
4354	MPP1	0.000626	0.000618	negative	hsa-miR-32
92689	FAM114A1	0.000627	0.000627	positive	hsa-miR-142-3p
4074	M6PR	0.000629	0.00028	positive	hsa-miR-199b-5p
2686	GGT7	0.000632	0.000117	positive	hsa-miR-145
9741	LAPTM4A	0.000632	0.000632	positive	hsa-miR-20b
54467	ANKIB1	0.000641	0.000641	positive	hsa-miR-454
10915	TCERG1	0.000655	0.000655	positive	hsa-miR-200a
80031	SEMA6D	0.000664	0.000107	negative	hsa-miR-15b
80031	SEMA6D	0.000664	1.1e-05	positive	hsa-miR-23b
80031	SEMA6D	0.000664	0.00129	positive	hsa-miR-23a
440730	TRIM67	0.000666	0.000974	negative	hsa-let-7g
440730	TRIM67	0.000666	0.00205	negative	hsa-let-7c
3898	LAD1	0.00067	0.00067	negative	hsa-miR-361-5p
23457	ABCB9	0.000678	0.000547	negative	hsa-let-7e
23457	ABCB9	0.000678	0.00189	negative	hsa-let-7g
155382	VPS37D	0.000678	0.000587	positive	hsa-miR-663
56834	GPR137	0.000679	0.000876	negative	hsa-let-7d
56834	GPR137	0.000679	0.00277	negative	hsa-miR-452
56834	GPR137	0.000679	0.00278	negative	hsa-let-7g
285203	EOGT	0.000679	0.000679	positive	hsa-miR-301a
1998	ELF2	0.000687	4.57e-06	positive	hsa-miR-29b
1998	ELF2	0.000687	0.000133	positive	hsa-miR-29c
1938	EEF2	0.000695	0.000695	positive	hsa-miR-183
23131	GPATCH8	0.000706	0.000706	positive	hsa-miR-16
8239	USP9X	0.000708	0.000708	negative	hsa-miR-627
9695	EDEM1	0.000717	0.000717	positive	hsa-miR-32
57574	MARCH4	0.00072	0.00125	positive	hsa-miR-30d
22990	PCNX	0.000721	3.29e-08	positive	hsa-miR-374b
90853	SPOCD1	0.000729	0.000729	positive	hsa-miR-548c-3p
9712	USP6NL	0.000733	0.000984	positive	hsa-miR-200b
64399	HHIP	0.000733	0.00187	negative	hsa-miR-494
84232	MAF1	0.000737	0.000518	positive	hsa-miR-545
421	ARVCF	0.000755	0.000416	negative	hsa-miR-29b
85416	ZIC5	0.000758	0.000758	negative	hsa-miR-34a
9519	TBPL1	0.000758	0.00109	positive	hsa-miR-18b
64780	MICAL1	0.00078	7.68e-05	negative	hsa-miR-30b
1655	DDX5	0.000781	0.000795	positive	hsa-miR-1
1025	CDK9	0.000792	0.000792	positive	hsa-miR-224
4087	SMAD2	0.000797	0.000797	positive	hsa-miR-455-3p
57758	SCUBE2	0.000798	0.000798	negative	hsa-miR-627
9722	NOS1AP	0.00082	0.00082	negative	hsa-miR-135a
8703	B4GALT3	0.000825	0.000346	negative	hsa-miR-27b
25884	CHRDL2	0.000827	0.000375	negative	hsa-miR-374a
25884	CHRDL2	0.000827	0.00311	negative	hsa-miR-374b
195828	ZNF367	0.000832	0.000832	negative	hsa-miR-590-5p
3183	HNRNPC	0.000847	0.000847	negative	hsa-miR-202
11078	TRIOBP	0.000867	3.53e-05	positive	hsa-miR-760
51663	ZFR	0.000868	0.000868	negative	hsa-miR-512-3p
26058	GIGYF2	0.000879	3.43e-06	positive	hsa-miR-30e
26058	GIGYF2	0.000879	6.16e-05	positive	hsa-miR-30c
50618	ITSN2	0.00088	0.000953	positive	hsa-miR-27a
50618	ITSN2	0.00088	0.00229	positive	hsa-miR-27b
50618	ITSN2	0.00088	0.00315	positive	hsa-miR-152
10797	MTHFD2	0.000889	0.000889	negative	hsa-miR-22
4478	MSN	0.000894	0.000894	negative	hsa-miR-215
11095	ADAMTS8	0.000913	0.000586	negative	hsa-let-7g
11095	ADAMTS8	0.000913	0.00467	negative	hsa-let-7i
382	ARF6	0.000929	0.000929	negative	hsa-miR-28-3p
7082	TJP1	0.000932	0.000775	positive	hsa-miR-153
3213	HOXB3	0.000976	0.000976	negative	hsa-miR-28-5p
64282	PAPD5	0.000979	0.00165	negative	hsa-miR-665
9705	ST18	0.000989	0.000564	negative	hsa-miR-454
9705	ST18	0.000989	0.000795	negative	hsa-miR-152
55656	INTS8	0.00099	0.00099	positive	hsa-miR-200c
22824	HSPA4L	0.001	0.001	negative	hsa-miR-501-5p
3925	STMN1	0.00101	0.000369	negative	hsa-miR-193a-3p
6939	TCF15	0.00102	0.00102	negative	hsa-miR-132
220388	CCDC89	0.00102	0.00102	negative	hsa-miR-218
2060	EPS15	0.00103	0.00103	positive	hsa-miR-23a
2672	GFI1	0.00103	0.00103	negative	hsa-miR-495
6567	SLC16A2	0.00104	0.00104	negative	hsa-miR-375
6712	SPTBN2	0.00104	0.000224	negative	hsa-miR-214
4808	NHLH2	0.00104	0.00388	negative	hsa-miR-130a
4808	NHLH2	0.00104	0.00176	positive	hsa-miR-30d
4091	SMAD6	0.00104	0.000449	negative	hsa-miR-32
4620	MYH2	0.00105	0.000296	negative	hsa-miR-23b
27086	FOXP1	0.00106	0.00106	negative	hsa-miR-34b
10262	SF3B4	0.00106	0.000824	negative	hsa-miR-133b
10262	SF3B4	0.00106	0.00213	negative	hsa-miR-133a
2729	GCLC	0.00106	5.96e-05	positive	hsa-miR-30c
8798	DYRK4	0.00107	0.000359	positive	hsa-miR-338-5p
8798	DYRK4	0.00107	0.00476	positive	hsa-miR-520d-3p
80199	FUZ	0.00107	0.00107	positive	hsa-miR-139-3p
5290	PIK3CA	0.00108	0.000886	positive	hsa-miR-10a
5290	PIK3CA	0.00108	0.00923	positive	hsa-miR-10b
84243	ZDHHC18	0.00109	0.00133	negative	hsa-miR-338-3p
23322	RPGRIP1L	0.00109	0.00109	positive	hsa-miR-107
401190	RGS7BP	0.00109	0.00109	negative	hsa-miR-153
8193	DPF1	0.0011	0.0011	negative	hsa-miR-135a
79140	CCDC28B	0.0011	0.0011	negative	hsa-miR-224
200424	TET3	0.00111	2.77e-07	positive	hsa-miR-512-3p
200424	TET3	0.00111	1.77e-05	positive	hsa-miR-93
379	ARL4D	0.00111	0.00111	negative	hsa-let-7g
9410	SNRNP40	0.00112	0.00112	negative	hsa-miR-381
9253	NUMBL	0.00112	0.000675	negative	hsa-miR-374a
3110	MNX1	0.00112	0.00259	negative	hsa-miR-200a
3110	MNX1	0.00112	0.000895	positive	hsa-miR-141
5094	PCBP2	0.00113	9.65e-05	positive	hsa-miR-203
3020	H3F3A	0.00114	1.11e-05	negative	hsa-miR-198
157378	TMEM65	0.00114	0.00114	negative	hsa-miR-101
7707	ZNF148	0.00114	7.04e-06	positive	hsa-miR-101
7707	ZNF148	0.00114	0.000136	positive	hsa-miR-495
7707	ZNF148	0.00114	0.00366	positive	hsa-miR-219-5p
10243	GPHN	0.00114	0.00114	positive	hsa-miR-96
5015	OTX2	0.00115	0.00115	negative	hsa-miR-1
28232	SLCO3A1	0.00116	0.00116	positive	hsa-miR-34a
23129	PLXND1	0.00117	0.000182	negative	hsa-let-7g
11166	SOX21	0.00119	0.000102	negative	hsa-miR-301a
2906	GRIN2D	0.0012	0.0012	positive	hsa-miR-663
5620	PRM2	0.00121	0.00121	positive	hsa-miR-125a-3p
2549	GAB1	0.00122	4.39e-05	positive	hsa-miR-29a
2549	GAB1	0.00122	0.0015	positive	hsa-miR-29b
2549	GAB1	0.00122	0.00472	positive	hsa-miR-200a
56252	YLPM1	0.00122	0.00583	negative	hsa-miR-330-3p
56252	YLPM1	0.00122	0.00188	positive	hsa-miR-31
50649	ARHGEF4	0.00122	0.00108	negative	hsa-miR-135a
140862	ISM1	0.00123	0.00123	negative	hsa-miR-204
6428	SRSF3	0.00124	0.00252	negative	hsa-miR-491-3p
6428	SRSF3	0.00124	0.333	negative	hsa-miR-154
6428	SRSF3	0.00124	0.984	negative	hsa-miR-378
6428	SRSF3	0.00124	0.00693	positive	hsa-miR-32
8498	RANBP3	0.00125	0.000127	negative	hsa-miR-15b
8498	RANBP3	0.00125	3.06e-06	positive	hsa-miR-181c
8850	KAT2B	0.00127	0.00127	positive	hsa-miR-363
54752	FNDC8	0.00129	0.00129	negative	hsa-miR-34a
8407	TAGLN2	0.00131	0.000324	positive	hsa-miR-133b
8407	TAGLN2	0.00131	0.00547	positive	hsa-miR-1
1393	CRHBP	0.00131	0.000489	negative	hsa-miR-200b
1393	CRHBP	0.00131	0.00334	negative	hsa-miR-429
3218	HOXB8	0.00131	0.00187	negative	hsa-miR-27b
5601	MAPK9	0.00133	0.00129	positive	hsa-miR-93
91746	YTHDC1	0.00133	0.000773	positive	hsa-miR-107
27332	ZNF638	0.00134	0.00134	negative	hsa-miR-548c-3p
4974	OMG	0.00135	0.000769	negative	hsa-miR-16
4974	OMG	0.00135	0.00216	negative	hsa-miR-15a
8729	GBF1	0.00137	0.00137	negative	hsa-miR-765
11059	WWP1	0.00137	1.87e-06	positive	hsa-miR-590-5p
7432	VIP	0.00138	0.000178	negative	hsa-miR-27b
9612	NCOR2	0.00138	5.22e-05	negative	hsa-miR-30b
9612	NCOR2	0.00138	0.00251	negative	hsa-miR-16
51072	MEMO1	0.00139	0.00688	positive	hsa-miR-454
51072	MEMO1	0.00139	0.00935	positive	hsa-miR-19a
6928	HNF1B	0.00141	0.00375	positive	hsa-miR-25
6928	HNF1B	0.00141	0.00397	positive	hsa-miR-200c
6928	HNF1B	0.00141	0.00443	positive	hsa-miR-92a
6928	HNF1B	0.00141	0.00579	positive	hsa-miR-32
226	ALDOA	0.00142	0.00142	positive	hsa-miR-34a
23512	SUZ12	0.00142	0.000483	positive	hsa-miR-200b
23512	SUZ12	0.00142	0.00413	positive	hsa-miR-429
4613	MYCN	0.00143	0.000172	negative	hsa-miR-34a
4613	MYCN	0.00143	0.000215	negative	hsa-miR-29b
4613	MYCN	0.00143	0.00132	negative	hsa-miR-200b
4613	MYCN	0.00143	0.00185	negative	hsa-miR-20a
41	ASIC1	0.00143	0.00143	positive	hsa-miR-134
64768	IPPK	0.00144	0.000906	negative	hsa-miR-23a
64768	IPPK	0.00144	0.00414	negative	hsa-miR-23b
8148	TAF15	0.00144	0.000358	negative	hsa-miR-214
8148	TAF15	0.00144	9.07e-05	positive	hsa-miR-15b
1788	DNMT3A	0.00146	0.000899	negative	hsa-miR-29b
5128	CDK17	0.00146	0.00146	positive	hsa-miR-429
284615	ANKRD34A	0.00147	0.000773	negative	hsa-miR-497
55122	AKIRIN2	0.00147	0.00147	positive	hsa-miR-139-5p
153020	RASGEF1B	0.00148	0.000229	positive	hsa-miR-16
153020	RASGEF1B	0.00148	0.00343	positive	hsa-miR-15a
1488	CTBP2	0.00149	0.00093	positive	hsa-miR-133b
1488	CTBP2	0.00149	0.00232	positive	hsa-miR-133a
55619	DOCK10	0.0015	0.0015	negative	hsa-miR-19b
9149	DYRK1B	0.00155	0.000116	negative	hsa-miR-152
9149	DYRK1B	0.00155	2.68e-05	positive	hsa-miR-423-5p
10498	CARM1	0.00155	0.00155	positive	hsa-miR-181c
79848	CSPP1	0.00156	0.00156	positive	hsa-miR-19a
4036	LRP2	0.00156	0.000368	negative	hsa-miR-130a
6258	RXRG	0.00157	0.000309	negative	hsa-miR-23b
121227	LRIG3	0.00158	0.000616	positive	hsa-let-7i
121227	LRIG3	0.00158	0.000758	positive	hsa-let-7d
121227	LRIG3	0.00158	0.000831	positive	hsa-miR-98
121227	LRIG3	0.00158	0.00111	positive	hsa-let-7e
121227	LRIG3	0.00158	0.00292	positive	hsa-let-7g
121227	LRIG3	0.00158	0.00328	positive	hsa-let-7f
121227	LRIG3	0.00158	0.00576	positive	hsa-let-7a
149473	CCDC24	0.00159	0.00159	negative	hsa-miR-218
5998	RGS3	0.00159	0.000467	positive	hsa-miR-92a
284339	TMEM145	0.00161	0.00181	negative	hsa-miR-31
23054	NCOA6	0.00162	0.00273	negative	hsa-miR-486-5p
23054	NCOA6	0.00162	0.000855	positive	hsa-miR-374a
57494	RIMKLB	0.00165	0.00165	positive	hsa-miR-136
23116	FAM179B	0.00166	0.00204	positive	hsa-miR-429
57584	ARHGAP21	0.00172	0.000353	positive	hsa-miR-224
80758	PRR7	0.00172	0.000677	negative	hsa-miR-495
1915	EEF1A1	0.00173	0.00117	negative	hsa-miR-382
283464	GXYLT1	0.00173	0.00431	positive	hsa-miR-200c
283464	GXYLT1	0.00173	0.00467	positive	hsa-miR-219-5p
64067	NPAS3	0.00173	0.000306	negative	hsa-miR-17
64067	NPAS3	0.00173	0.000343	negative	hsa-miR-20b
79018	GID4	0.00174	0.00375	negative	hsa-miR-21
6242	RTKN	0.0018	0.00185	negative	hsa-miR-145
23305	ACSL6	0.00182	0.00238	negative	hsa-miR-24
23305	ACSL6	0.00182	0.000833	positive	hsa-miR-526b
7128	TNFAIP3	0.00189	0.00189	positive	hsa-miR-154
22986	SORCS3	0.0019	0.0019	negative	hsa-miR-199b-5p
131583	FAM43A	0.00191	0.00183	negative	hsa-miR-30c
131583	FAM43A	0.00191	0.00194	negative	hsa-miR-30b
220164	DOK6	0.00192	0.00186	positive	hsa-miR-665
115123	MARCH3	0.00195	0.00221	positive	hsa-miR-144
57595	PDZD4	0.00195	0.000224	negative	hsa-miR-28-5p
8546	AP3B1	0.00197	0.00197	negative	hsa-miR-630
49855	SCAPER	0.00198	0.00198	positive	hsa-miR-139-5p
7060	THBS4	0.00199	0.00211	negative	hsa-miR-181d
154796	AMOT	0.00199	3.36e-05	positive	hsa-miR-29a
94241	TP53INP1	0.002	0.00194	positive	hsa-miR-200a
9559	VPS26A	0.002	0.002	positive	hsa-miR-7
5901	RAN	0.00201	0.00374	negative	hsa-miR-181c
2244	FGB	0.00202	0.00202	negative	hsa-miR-224
5926	ARID4A	0.00206	2.38e-08	positive	hsa-miR-30c
8565	YARS	0.00208	0.00208	negative	hsa-miR-605
284403	WDR62	0.00208	0.00208	negative	hsa-miR-223
6670	SP3	0.00213	0.00213	positive	hsa-miR-135a
63941	NECAB3	0.00213	0.000547	negative	hsa-miR-125a-5p
10365	KLF2	0.00214	0.00214	negative	hsa-miR-25
81788	NUAK2	0.00217	0.00217	negative	hsa-miR-143
30009	TBX21	0.00219	0.00216	negative	hsa-miR-29a
30009	TBX21	0.00219	0.00776	negative	hsa-miR-29c
10048	RANBP9	0.00219	0.000757	negative	hsa-miR-548c-3p
10048	RANBP9	0.00219	0.000133	positive	hsa-miR-101
56884	FSTL5	0.00221	0.00221	negative	hsa-miR-301a
51046	ST8SIA3	0.00224	0.00235	negative	hsa-miR-454
51046	ST8SIA3	0.00224	0.00921	negative	hsa-miR-181d
51046	ST8SIA3	0.00224	0.0101	negative	hsa-miR-301a
51046	ST8SIA3	0.00224	0.148	negative	hsa-miR-148a
51046	ST8SIA3	0.00224	0.259	negative	hsa-miR-19b
51046	ST8SIA3	0.00224	0.303	negative	hsa-miR-19a
51046	ST8SIA3	0.00224	0.0122	positive	hsa-miR-130b
1901	S1PR1	0.00226	2.23e-05	positive	hsa-miR-181a
131076	CCDC58	0.00227	0.00123	negative	hsa-miR-24
81832	NETO1	0.00227	0.00107	negative	hsa-miR-27b
79665	DHX40	0.00228	0.00069	negative	hsa-miR-574-5p
145773	FAM81A	0.00228	0.0102	positive	hsa-miR-96
145773	FAM81A	0.00228	0.0173	positive	hsa-miR-575
6453	ITSN1	0.0023	0.000929	negative	hsa-miR-498
2783	GNB2	0.0023	0.0023	negative	hsa-miR-331-3p
2914	GRM4	0.0023	0.00212	negative	hsa-miR-29b
2914	GRM4	0.0023	0.00399	negative	hsa-miR-29a
1371	CPOX	0.00231	0.00231	negative	hsa-miR-361-5p
113419	TEX261	0.00231	0.00231	positive	hsa-miR-28-5p
64762	FAM59A	0.00231	0.00589	negative	hsa-miR-130b
64762	FAM59A	0.00231	0.0373	negative	hsa-miR-19b
64762	FAM59A	0.00231	0.149	positive	hsa-miR-301a
151613	TTC14	0.00231	0.0097	positive	hsa-miR-497
151613	TTC14	0.00231	0.0202	positive	hsa-miR-15b
8817	FGF18	0.00232	0.00232	positive	hsa-miR-659
340562	SATL1	0.00233	0.00233	positive	hsa-miR-125a-3p
5154	PDGFA	0.00233	0.000932	positive	hsa-miR-23a
5154	PDGFA	0.00233	0.00865	positive	hsa-miR-23b
2894	GRID1	0.00234	0.00234	negative	hsa-miR-96
9653	HS2ST1	0.00236	0.00236	negative	hsa-miR-494
3329	HSPD1	0.00239	0.00239	negative	hsa-miR-206
54897	CASZ1	0.00242	0.00242	negative	hsa-miR-151-5p
2785	GNG3	0.00248	0.00248	positive	hsa-miR-125a-3p
1647	GADD45A	0.00248	0.0047	negative	hsa-miR-148b
1647	GADD45A	0.00248	0.000202	positive	hsa-miR-152
4953	ODC1	0.00249	0.000652	negative	hsa-miR-595
51114	ZDHHC9	0.00251	0.00251	negative	hsa-miR-299-5p
114788	CSMD3	0.00254	8.28e-06	negative	hsa-miR-340
8724	SNX3	0.00257	0.00257	positive	hsa-miR-107
1665	DHX15	0.00257	0.00258	negative	hsa-miR-206
55176	SEC61A2	0.00257	0.00217	positive	hsa-miR-204
3175	ONECUT1	0.00258	0.00258	positive	hsa-miR-125a-3p
57497	LRFN2	0.00259	0.000221	negative	hsa-miR-30c
23590	PDSS1	0.00263	0.0012	negative	hsa-miR-22
23590	PDSS1	0.00263	0.00205	negative	hsa-miR-30a
344838	PAQR9	0.00269	0.00269	negative	hsa-miR-200a
84465	MEGF11	0.00269	0.00269	positive	hsa-miR-125a-3p
9914	ATP2C2	0.0027	0.0027	negative	hsa-miR-548c-3p
10428	CFDP1	0.00271	0.00103	positive	hsa-miR-23b
6446	SGK1	0.00272	0.00287	positive	hsa-miR-29b
6446	SGK1	0.00272	0.00541	positive	hsa-miR-101
775	CACNA1C	0.00273	0.00142	positive	hsa-miR-30c
10439	OLFM1	0.00273	0.000143	negative	hsa-miR-107
55605	KIF21A	0.00274	0.00274	positive	hsa-miR-16
2050	EPHB4	0.00275	0.00275	negative	hsa-miR-93
11334	TUSC2	0.00276	0.000277	negative	hsa-let-7d
11334	TUSC2	0.00276	0.000777	negative	hsa-miR-98
11334	TUSC2	0.00276	0.00137	negative	hsa-let-7f
11334	TUSC2	0.00276	0.00373	negative	hsa-let-7a
5454	POU3F2	0.00277	0.00277	negative	hsa-miR-200a
1271	CNTFR	0.00277	0.00714	negative	hsa-miR-28-5p
1271	CNTFR	0.00277	0.0269	negative	hsa-miR-21
1271	CNTFR	0.00277	0.0987	negative	hsa-miR-200c
1271	CNTFR	0.00277	0.0107	positive	hsa-miR-296-5p
83590	TMUB1	0.00278	0.000303	negative	hsa-miR-27b
9094	UNC119	0.00279	0.00279	negative	hsa-miR-582-5p
54980	C2orf42	0.0029	0.000437	positive	hsa-miR-195
54980	C2orf42	0.0029	0.000885	positive	hsa-miR-15a
9475	ROCK2	0.00295	0.00295	negative	hsa-miR-200c
55907	CMAS	0.00297	0.00297	negative	hsa-miR-548c-3p
7404	UTY	0.00298	0.00298	negative	hsa-miR-371-5p
51538	ZCCHC17	0.00299	0.00127	positive	hsa-miR-29c
5629	PROX1	0.00303	0.00363	positive	hsa-miR-485-3p
130557	ZNF513	0.00303	0.00226	negative	hsa-miR-340
57018	CCNL1	0.00306	0.00436	negative	hsa-miR-548c-3p
57018	CCNL1	0.00306	0.0619	positive	hsa-miR-19a
57018	CCNL1	0.00306	0.146	positive	hsa-miR-19b
133522	PPARGC1B	0.00306	0.00306	negative	hsa-miR-30e
220323	OAF	0.00309	0.00309	positive	hsa-miR-548c-3p
9686	VGLL4	0.00309	0.00309	positive	hsa-miR-222
3930	LBR	0.00312	0.00312	positive	hsa-miR-98
29942	PURG	0.00312	0.00312	negative	hsa-miR-29c
2006	ELN	0.00314	0.00242	positive	hsa-miR-299-5p
8161	COIL	0.00314	0.00178	positive	hsa-let-7g
8161	COIL	0.00314	0.00761	positive	hsa-let-7e
2313	FLI1	0.00317	0.00154	negative	hsa-miR-193a-3p
5604	MAP2K1	0.00317	0.0107	positive	hsa-miR-195
5604	MAP2K1	0.00317	0.0166	positive	hsa-miR-96
5604	MAP2K1	0.00317	0.027	positive	hsa-miR-497
10818	FRS2	0.00323	0.000266	positive	hsa-miR-18a
10818	FRS2	0.00323	0.00114	positive	hsa-miR-18b
56675	NRIP3	0.00326	6.07e-05	negative	hsa-miR-34a
6615	SNAI1	0.00327	0.00369	negative	hsa-miR-30b
5957	RCVRN	0.00328	0.00328	negative	hsa-miR-28-5p
54468	MIOS	0.0033	0.0033	negative	hsa-miR-202
253461	ZBTB38	0.00331	0.00331	negative	hsa-miR-7
3037	HAS2	0.00335	2.5e-08	negative	hsa-miR-106a
27133	KCNH5	0.00338	0.00338	positive	hsa-miR-381
56254	RNF20	0.00343	0.00175	positive	hsa-let-7c
56254	RNF20	0.00343	0.00284	positive	hsa-let-7a
56254	RNF20	0.00343	0.0032	positive	hsa-let-7f
56254	RNF20	0.00343	0.00536	positive	hsa-let-7g
56254	RNF20	0.00343	0.0066	positive	hsa-let-7e
91461	PKDCC	0.00345	1.7e-05	negative	hsa-miR-363
3169	FOXA1	0.00347	3.01e-13	positive	hsa-miR-141
85453	TSPYL5	0.00348	0.00101	positive	hsa-let-7c
5789	PTPRD	0.00348	0.00396	negative	hsa-miR-153
196403	DTX3	0.00349	3.41e-05	positive	hsa-miR-139-5p
1387	CREBBP	0.00349	0.00243	negative	hsa-miR-153
25924	MYRIP	0.00352	8.68e-05	negative	hsa-miR-34a
2036	EPB41L1	0.00355	0.00213	negative	hsa-miR-130b
9683	N4BP1	0.00357	0.000969	positive	hsa-miR-28-5p
266722	HS6ST3	0.00358	0.00358	negative	hsa-miR-218
989	SEPT7	0.00359	0.00359	positive	hsa-miR-495
154215	NKAIN2	0.00362	0.00362	positive	hsa-miR-548c-3p
56478	EIF4ENIF1	0.00363	0.00363	positive	hsa-miR-377
84678	KDM2B	0.00363	0.00222	negative	hsa-miR-200a
