Target (Entrez)	Target (Gene Symbol)	P-value (global)	P-value (local)	Association	microRNA
27125	AFF4	6.78e-09	0.000424	positive	hsa-miR-107
57620	STIM2	7.61e-09	2.75e-09	positive	hsa-miR-27b
57620	STIM2	7.61e-09	3.1e-05	positive	hsa-miR-454
23387	SIK3	8.39e-09	8.39e-09	negative	hsa-miR-183
1756	DMD	8.55e-09	8.55e-09	negative	hsa-miR-153
23325	KIAA1033	1.15e-08	1.15e-08	positive	hsa-miR-107
2353	FOS	1.26e-08	4.1e-08	positive	hsa-miR-221
2353	FOS	1.26e-08	1.99e-06	positive	hsa-miR-29a
2353	FOS	1.26e-08	0.000163	positive	hsa-miR-139-5p
2353	FOS	1.26e-08	0.00285	positive	hsa-miR-155
2353	FOS	1.26e-08	0.00803	positive	hsa-miR-101
26122	EPC2	1.32e-08	0.000217	negative	hsa-miR-30d
26122	EPC2	1.32e-08	1.8e-07	positive	hsa-miR-26a
26122	EPC2	1.32e-08	8.5e-06	positive	hsa-miR-454
26122	EPC2	1.32e-08	1.57e-05	positive	hsa-miR-582-5p
26122	EPC2	1.32e-08	3e-05	positive	hsa-miR-224
26122	EPC2	1.32e-08	7.28e-05	positive	hsa-miR-30e
26122	EPC2	1.32e-08	0.00487	positive	hsa-miR-30b
23001	WDFY3	1.33e-08	1.33e-08	positive	hsa-miR-454
54834	GDAP2	1.37e-08	7.45e-09	positive	hsa-let-7e
54834	GDAP2	1.37e-08	8.24e-08	positive	hsa-let-7d
54834	GDAP2	1.37e-08	6.17e-07	positive	hsa-miR-98
54834	GDAP2	1.37e-08	1.2e-06	positive	hsa-let-7c
84146	ZNF644	1.49e-08	3.09e-09	positive	hsa-let-7d
84146	ZNF644	1.49e-08	2.67e-07	positive	hsa-let-7a
84146	ZNF644	1.49e-08	1.74e-06	positive	hsa-miR-132
84146	ZNF644	1.49e-08	8.41e-05	positive	hsa-let-7c
56996	SLC12A9	1.65e-08	1.56e-08	negative	hsa-let-7d
56996	SLC12A9	1.65e-08	2.05e-08	negative	hsa-let-7e
56996	SLC12A9	1.65e-08	3.34e-08	negative	hsa-let-7g
56996	SLC12A9	1.65e-08	5.39e-08	negative	hsa-let-7i
56996	SLC12A9	1.65e-08	1.73e-07	negative	hsa-miR-98
56996	SLC12A9	1.65e-08	7.79e-07	negative	hsa-let-7a
56996	SLC12A9	1.65e-08	1.04e-05	negative	hsa-let-7c
90	ACVR1	1.76e-08	1.65e-05	negative	hsa-miR-130b
90	ACVR1	1.76e-08	1.43e-08	positive	hsa-miR-130a
90	ACVR1	1.76e-08	0.00111	positive	hsa-miR-365
27327	TNRC6A	1.77e-08	4.92e-06	negative	hsa-miR-130b
27327	TNRC6A	1.77e-08	0.00562	negative	hsa-miR-30d
27327	TNRC6A	1.77e-08	1.81e-10	positive	hsa-miR-30c
27327	TNRC6A	1.77e-08	3.09e-05	positive	hsa-miR-26b
27327	TNRC6A	1.77e-08	0.000251	positive	hsa-miR-652
27327	TNRC6A	1.77e-08	0.00119	positive	hsa-miR-30b
27327	TNRC6A	1.77e-08	0.00253	positive	hsa-miR-30e
